sku,name,brand,model_no,price,currency,rating,review_count,url,image,Bare Unit Product Type,Battery Chemistry,Battery Power,Battery Technology,Bolt Capacity,Brand,Brushless,Capacity Masonry,Capacity Steel,Capacity Wood,Carry Case/Bag Included,Charge Time,Chuck Capacity,Chuck Type,Condition,Condition Description,Demolition Hammer Impact Energy,Drill Handle Type,Green star,Green star Claim,Impact Rate,Label Info 4: Supplementary Label Info,Label Info 5: Hazardous Chemical Content,Low Battery Indicator,Manual or Powered,Manufacturer Guarantee,Max Torque,Model No,No Load Speed,No. of Batteries Per Pack,No. of SDS Drill Functions,Overload Protection,Pack Size,Pieces in Pack/Case,Power Supply,Power Voltage Supply,Product Length,Product Type,Range Name,Repair Service Action,SDS Drill Product Type,Switch Type,Tool Weight with Battery,Tool Weight without Battery,Vibration Level,Vibration System,Z1 - UK Manufacturer Name,Z2 - UK Manufacturer Postal Address,Z3 - UK Manufacturer Electronic Address,Z4 - EU Manufacturer Name,Z5 - EU Manufacturer Postal Address,Z6 - EU Manufacturer Electronic Address,z1 - UK Manufacturer Name,z2 - UK Manufacturer Postal Address,z3 - UK Manufacturer Electronic Address,z4 - EU Manufacturer Name,z5 - EU Manufacturer Postal Address,z6 - EU Manufacturer Electronic Address
555XJ,Makita DTW181Z 18V Li-Ion LXT Brushless Cordless Impact Wrench - Bare,Makita,DTW181Z,124.99,GBP,3.0,4,/p/makita-dtw181z-18v-li-ion-lxt-brushless-cordless-impact-wrench-bare/555xj,https://media.screwfix.com/is/image/ae235/555XJ_P?$autoprodblock$,Impact Wrenches,Li-Ion,,LXT,"5/8 """,Makita,Brushless,,,,No,,"1/2""",Hex / Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,0-3600 bpm,,,,,1 Year Guarantee,330 Nm,DTW181Z,"0 - 2,400 rpm",None,,,1,1,Cordless,18 V,151 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.2 kg,,,,,,,,,,,,,,
828KJ,DEWALT DCF512D1-GB 18V 1 x 2.0Ah Li-Ion XR Brushless Cordless Open Head Ratchet,DEWALT,DCF512D1-GB,239.95,GBP,5.0,3,/p/dewalt-dcf512d1-gb-18v-1-x-2-0ah-li-ion-xr-brushless-cordless-open-head-ratchet/828kj,https://media.screwfix.com/is/image/ae235/828KJ_P?$autoprodblock$,,Li-Ion,2.0 Ah,XR,"1/2 """,DEWALT,Brushless,,,,Yes,1 hr,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,,,,Low Battery Indicator,Powered,1 Year Guarantee,95 Nm,DCF512D1-GB,250 rpm,1,,,1,1,Cordless,18 V,360 mm,Open Head Ratchet,,Should the product require repair please visit a store who will arrange the repair.,,Lock-On Trigger Switch,1.5 kg,,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
700VN,DEWALT DCF900P2T-GB 18V 2 x 5.0Ah Li-Ion XR Brushless Cordless 1/2&quot; Hog Ring High Torque Impact Wrench,DEWALT,DCF900P2T-GB,374.99,GBP,,0,/p/dewalt-dcf900p2t-gb-18v-2-x-5-0ah-li-ion-xr-brushless-cordless-1-2-hog-ring-high-torque-impact-wrench/700vn,https://media.screwfix.com/is/image/ae235/700VN_P?$autoprodblock$,,Li-Ion,5.0 Ah,XR,M30,DEWALT,Brushless,,,,Yes,75 min,"1/2""",Square Drive Hog Ring,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-2200 bpm,,,Low Battery Indicator,,1 Year Guarantee,1396 Nm,DCF900P2T-GB,0-2300 rpm,2,,,1,1,Cordless,18 V,232 mm,"1/2"" Hog Ring High Torque Impact Wrench",,Should the product require repair please visit a store who will arrange the repair.,,,2.9 kg,,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
740VN,DEWALT DCF964N-XJ 18V Li-Ion XR Brushless Cordless High Torque Impact Wrench - Bare,DEWALT,DCF964N-XJ,349.99,GBP,,0,/p/dewalt-dcf964n-xj-18v-li-ion-xr-brushless-cordless-high-torque-impact-wrench-bare/740vn,https://media.screwfix.com/is/image/ae235/740VN_P?$autoprodblock$,Impact Wrenches,Li-Ion,,XR,M36,DEWALT,Brushless,,,,No,,"3/4""",Square Drive Hog Ring,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,0-2015 bpm,,,,,1 Year Guarantee,1925 Nm,DCF964N-XJ,0-440/575/1200 rpm,None,,,1,1,Cordless,18 V,223 mm,High Torque Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,3.7 kg,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
211EK,DEWALT DCF923N-XJ 18V Li-Ion XR Brushless Cordless Compact Impact Wrench - Bare,DEWALT,DCF923N-XJ,179.99,GBP,,0,/p/dewalt-dcf923n-xj-18v-li-ion-xr-brushless-cordless-compact-impact-wrench-bare/211ek,https://media.screwfix.com/is/image/ae235/211EK_P?$autoprodblock$,Impact Wrenches,Li-Ion,,XR,"5/8 """,DEWALT,Brushless,,,,No,,"3/8""",Square Drive Hog Ring,,,,Without Handle,,,0-3350 bpm,,,,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",610 Nm,DCF923N-XJ,0–2500 rpm,None,,,1,1,Cordless,18 V,126 mm,Compact Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.1 kg,,,Stanley Black & Decker,"270 Bath Road
, Slough
, Berkshire
, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse
, Idstein
, 65509
, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
747EN,Milwaukee M12 FCIWF12G3-502X FUEL 12V 2 x 5.0Ah Li-Ion RedLithium High Output Brushless Cordless Impact Wrench,Milwaukee,M12 FCIWF12G3-502X FUEL,309.99,GBP,,0,/p/milwaukee-m12-fciwf12g3-502x-fuel-12v-2-x-5-0ah-li-ion-redlithium-high-output-brushless-cordless-impact-wrench/747en,https://media.screwfix.com/is/image/ae235/747EN_P?$autoprodblock$,,Li-Ion,5.0 Ah,RedLithium High Output,M16,Milwaukee,Brushless,,,,Yes,75 min,"1/2""",Hex / Square Drive,,,,Rubber Overmould Grip,,,3300 bpm,,,Low Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",745 Nm,M12 FCIWF12G3-502X FUEL,3000 rpm,2,,,1,1,Cordless,12 V,122 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,1.5 kg,,,,,,,,,,,,,,,
571EN,Milwaukee M18BLHIWF12-0X 18V Li-Ion RedLithium Brushless Cordless Impact Wrench - Bare,Milwaukee,M18BLHIWF12-0X,209.99,GBP,,0,/p/milwaukee-m18blhiwf12-0x-18v-li-ion-redlithium-brushless-cordless-impact-wrench-bare/571en,https://media.screwfix.com/is/image/ae235/571EN_P?$autoprodblock$,Impact Wrenches,Li-Ion,,RedLithium,"1/2 """,Milwaukee,Brushless,,,,Yes,,"1/2""",Keyless Chuck,,,,Rubber Overmould Grip,,,2000 bpm,,,,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",1627 Nm,M18BLHIWF12-0X,1750 rpm,None,,,1,1,Cordless,18 V,222 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,2.7 kg,,,,,,,,,,,,,,
242RL,DEWALT DCF891H2T-GB 18V 2 x 5.0Ah Li-Ion PowerStack Brushless Cordless Impact Wrench,DEWALT,DCF891H2T-GB,150.0,GBP,,0,/p/dewalt-dcf891h2t-gb-18v-2-x-5-0ah-li-ion-powerstack-brushless-cordless-impact-wrench/242rl,https://media.screwfix.com/is/image/ae235/242RL_P?$autoprodblock$,,Li-Ion,5.0 Ah,PowerStack,"1/2 """,DEWALT,Brushless,,,,Yes,75 min,"1/2""",Square Drive Hog Ring,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-3250 bpm,,,Low Battery Indicator,,1 Year Guarantee,1084 Nm,DCF891H2T-GB,0-2000 rpm,2,,,1,1,Cordless,18 V,175 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,1.6 kg,,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
511EU,Milwaukee M18 ONEFHIWF1-0 FUEL 18V Li-Ion RedLithium Brushless Cordless Impact Wrench With ONE-KEY - Bare,Milwaukee,M18 ONEFHIWF1-0 FUEL,399.99,GBP,,0,/p/milwaukee-m18-onefhiwf1-0-fuel-18v-li-ion-redlithium-brushless-cordless-impact-wrench-with-one-key-bare/511eu,https://media.screwfix.com/is/image/ae235/511EU_P?$autoprodblock$,Impact Wrenches,Li-Ion,,RedLithium,"1 """,Milwaukee,Brushless,,,,No,,"1""",Keyless Chuck,,,,Rubber Overmould Grip,,,2500 bpm,,,,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",2400 Nm,M18 ONEFHIWF1-0 FUEL,1670 rpm,None,,,1,1,Cordless,18 V,314 mm,Impact Wrench With ONE-KEY,,Should the product require repair please visit a store who will arrange the repair.,,,,4.1 kg,,,,,,,,,,,,,,
656XJ,Makita DTW701Z 18V Li-Ion LXT Brushless Cordless Impact Wrench  - Bare,Makita,DTW701Z,284.99,GBP,3.0,2,/p/makita-dtw701z-18v-li-ion-lxt-brushless-cordless-impact-wrench-bare/656xj,https://media.screwfix.com/is/image/ae235/656XJ_P?$autoprodblock$,Impact Wrenches,Li-Ion,,LXT,"1 """,Makita,Brushless,,,,No,,"1/2""",Square Drive Detent Pin,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-2700/2400/1700/1000 bpm,,,,,1 Year Guarantee,1000 Nm,DTW701Z,"0-2,200/1.900/1,200/500 rpm",None,,,1,1,Cordless,18 V,170 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,2.3 kg,,,,,,,,,,,,,,
