sku,name,brand,model_no,price,currency,rating,review_count,url,image,Bare Unit Product Type,Battery Chemistry,Battery Power,Battery Technology,Bolt Capacity,Brand,Brushless,Capacity Masonry,Capacity Steel,Capacity Wood,Carry Case/Bag Included,Charge Time,Chuck Capacity,Chuck Type,Condition,Condition Description,Demolition Hammer Impact Energy,Drill Handle Type,Green star,Green star Claim,Impact Rate,Label Info 4: Supplementary Label Info,Label Info 5: Hazardous Chemical Content,Low Battery Indicator,Manual or Powered,Manufacturer Guarantee,Max Torque,Model No,No Load Speed,No. of Batteries Per Pack,No. of SDS Drill Functions,Overload Protection,Pack Size,Pieces in Pack/Case,Power Supply,Power Voltage Supply,Product Length,Product Type,Range Name,Repair Service Action,SDS Drill Product Type,Switch Type,Tool Weight with Battery,Tool Weight without Battery,Vibration Level,Vibration System,Z1 - UK Manufacturer Name,Z2 - UK Manufacturer Postal Address,Z3 - UK Manufacturer Electronic Address,Z4 - EU Manufacturer Name,Z5 - EU Manufacturer Postal Address,Z6 - EU Manufacturer Electronic Address,z1 - UK Manufacturer Name,z2 - UK Manufacturer Postal Address,z3 - UK Manufacturer Electronic Address,z4 - EU Manufacturer Name,z5 - EU Manufacturer Postal Address,z6 - EU Manufacturer Electronic Address
134CP,Einhell Professional TP-CW 18/750-C Li BL 18V Li-Ion Power X-Change Brushless Cordless Impact Wrench - Bare,Einhell Professional,TP-CW 18/750-C Li BL,169.99,GBP,,0,/p/einhell-professional-tp-cw-18-750-c-li-bl-18v-li-ion-power-x-change-brushless-cordless-impact-wrench-bare/134cp,https://media.screwfix.com/is/image/ae235/134CP_P?$autoprodblock$,Impact Wrenches,Li-Ion,,Power X-Change,M22,Einhell Professional,Brushless,,,,No,,"1/2""",Square Drive,,,,Without Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,2700 bpm,,,,,1 Year Guarantee,750 Nm,TP-CW 18/750-C Li BL,2400 m/min,None,,,1,1,Cordless,18 V,175 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.78 kg,,,Einhell UK,"Champions Business Park, First Floor Unit 10, Wirral, Upton, CH49 0AB",,Einhell,,,,,,,,
721XK,DEWALT DCF922D2T-GB 18V 2 x 2.0Ah Li-Ion XR Brushless Cordless Compact Impact Wrench,DEWALT,DCF922D2T-GB,249.98,GBP,,0,/p/dewalt-dcf922d2t-gb-18v-2-x-2-0ah-li-ion-xr-brushless-cordless-compact-impact-wrench/721xk,https://media.screwfix.com/is/image/ae235/721XK_P?$autoprodblock$,,Li-Ion,2.0 Ah,XR,M20,DEWALT,Brushless,,,,Yes,60 min,"1/2""",Square Drive Detent Pin,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,3600 bpm,,,Low Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",406 Nm,DCF922D2T-GB,2500 rpm,2,,,1,1,Cordless,18 V,125 mm,Compact Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,1.5 kg,,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
668EN,Milwaukee M12 FCIWF38G3-502X FUEL 12V 2 x 5.0Ah Li-Ion RedLithium High Output Brushless Cordless Impact Wrench,Milwaukee,M12 FCIWF38G3-502X FUEL,319.97,GBP,,0,/p/milwaukee-m12-fciwf38g3-502x-fuel-12v-2-x-5-0ah-li-ion-redlithium-high-output-brushless-cordless-impact-wrench/668en,https://media.screwfix.com/is/image/ae235/668EN_P?$autoprodblock$,,Li-Ion,5.0 Ah,RedLithium High Output,"3/8 """,Milwaukee,Brushless,,,,Yes,75 min,"3/8""",Keyless Chuck,,,,Rubber Overmould Grip,,,3300 bpm,,,Low Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",745 Nm,M12 FCIWF38G3-502X FUEL,3000 rpm,2,,,1,1,Cordless,12 V,475 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,1.5 kg,,,,,,,,,,,,,,,
874EN,Milwaukee M12 FSCIWF38-0 FUEL 12V Li-Ion RedLithium Brushless Cordless Impact Wrench - Bare,Milwaukee,M12 FSCIWF38-0 FUEL,149.99,GBP,,0,/p/milwaukee-m12-fsciwf38-0-fuel-12v-li-ion-redlithium-brushless-cordless-impact-wrench-bare/874en,https://media.screwfix.com/is/image/ae235/874EN_P?$autoprodblock$,Impact Wrenches,Li-Ion,,RedLithium,"3/8 """,Milwaukee,Brushless,,,,No,,"3/8""",Square Drive Hog Ring,,,,Rubber Overmould Grip,,,3600 bpm,,,,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",305 Nm,M12 FSCIWF38-0 FUEL,3400 rpm,None,,,1,1,Cordless,12 V,114 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,0.71 kg,,,,,,,,,,,,,,
219FU,Refurb Erbauer ERH12-Li 1.7kg 12V Li-Ion EXT Brushless Cordless SDS Hammer Drill - Bare,Erbauer,ERH12-Li,47.99,GBP,5.0,3,/p/refurb-erbauer-erh12-li-1-7kg-12v-li-ion-ext-brushless-cordless-sds-hammer-drill-bare/219fu,https://media.screwfix.com/is/image/ae235/219FU_P?$autoprodblock$,SDS Drills,Li-Ion,,EXT,,Erbauer,Brushless,16 mm,10 mm,13 mm,No,,,,Refurbished,"May have been previously used & show signs of cosmetic wear & tear. Original packaging may be missing or replaced. Supplied in working order, PAT & function tested & with the accessories detailed in the products description.",1.1 J,Rubber Overmould Grip,Extending product lifecycles,"This second hand tool has been refurbished, repaired and tested. Keeping products in use for longer helps to reduce the overall demand for new products and can also contribute to waste reduction.",0-5300 bpm,,,,,1 Year Guarantee,,ERH12-Li,0-1100 rpm,None,2-Function,Overload Protection,1,1,Cordless,12 V,315 mm,SDS Hammer Drill,,Should the product require repair please visit a store who will arrange the repair.,SDS Plus,Trigger Switch,,1.7 kg,15.2 m/s²,No Anti-Vibration System,,,,,,,Kingfisher International Products Limited,"1 Paddington Square, London, W2 1GG",www.kingfisher.com/products,Kingfisher International Products B.V.,"Rapenburgerstraat 175E, 1011 VM Amsterdam, 1011, Netherlands",www.kingfisher.com/products
455CX,Milwaukee M18FHIW2F12-502X FUEL 18V 2 x 5.0Ah Li-Ion RedLithium Brushless Cordless Impact Wrench,Milwaukee,M18FHIW2F12-502X FUEL,479.99,GBP,,0,/p/milwaukee-m18fhiw2f12-502x-fuel-18v-2-x-5-0ah-li-ion-redlithium-brushless-cordless-impact-wrench/455cx,https://media.screwfix.com/is/image/ae235/455CX_P?$autoprodblock$,,Li-Ion,5.0 Ah,RedLithium,"1/2 """,Milwaukee,Brushless,,,,Yes,1 hr,"1/2""",Hex / Square Drive,,,,Rubber Overmould Grip,,,2400 bpm,,,Low Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",1491 Nm,M18FHIW2F12-502X FUEL,2000 rpm,2,,,1,1,Cordless,18 V,474 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,7.77 kg,,,,,,,,,,,,,,,
235GE,Milwaukee M18 ONEFHIWH716 FUEL 18V 2 x 5.0Ah Li-Ion RedLithium Brushless Cordless One-Key Impact Wrench,Milwaukee,M18 ONEFHIWH716 FUEL,180.0,GBP,,0,/p/milwaukee-m18-onefhiwh716-fuel-18v-2-x-5-0ah-li-ion-redlithium-brushless-cordless-one-key-impact-wrench/235ge,https://media.screwfix.com/is/image/ae235/235GE_P?$autoprodblock$,,Li-Ion,5.0 Ah,RedLithium,"7/16 """,Milwaukee,Brushless,,,,Yes,59 min,"7/16""",Keyless Chuck,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-2800 bpm,,,Low Battery Indicator,,1 Year Guarantee,1017 Nm,M18 ONEFHIWH716 FUEL,0-2300 rpm,2,,,1,1,Cordless,18 V,208 mm,One-Key Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,3.3 kg,,,,,,,,,,,,,,,
505GE,Milwaukee M18 FMTIW2F38-502X 18V 2 x 5.0Ah Li-Ion RedLithium Brushless Cordless Impact Wrench,Milwaukee,M18 FMTIW2F38-502X,328.99,GBP,,0,/p/milwaukee-m18-fmtiw2f38-502x-18v-2-x-5-0ah-li-ion-redlithium-brushless-cordless-impact-wrench/505ge,https://media.screwfix.com/is/image/ae235/505GE_P?$autoprodblock$,,Li-Ion,5.0 Ah,RedLithium,M22,Milwaukee,Brushless,,,,Yes,59 min,"3/8""",Hex / Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-3100 bpm,,,Low Battery Indicator,,1 Year Guarantee,745 Nm,M18 FMTIW2F38-502X,0-1325 rpm,2,,,1,1,Cordless,18 V,152 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,2.3 kg,,,,,,,,,,,,,,,
647EK,DEWALT  DCF961N-XJ 18V Li-Ion XR Brushless Cordless Impact Wrench - Bare,DEWALT,DCF961N-XJ,284.99,GBP,,0,/p/dewalt-dcf961n-xj-18v-li-ion-xr-brushless-cordless-impact-wrench-bare/647ek,https://media.screwfix.com/is/image/ae235/647EK_P?$autoprodblock$,Impact Wrenches,Li-Ion,,XR,M24,DEWALT,Brushless,,,,No,,"1/2""",Square Drive Hog Ring,,,,Rubber Overmould Grip,,,0-1890 bpm,,,,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",1626 Nm,DCF961N-XJ,0-440/0-800/0-1200 rpm,None,,,1,1,Cordless,18 V,213 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,3.5 kg,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
426EN,Milwaukee M12 FSCIWF14-0 FUEL 12V Li-Ion RedLithium Brushless Cordless Impact Wrench - Bare,Milwaukee,M12 FSCIWF14-0 FUEL,149.99,GBP,,0,/p/milwaukee-m12-fsciwf14-0-fuel-12v-li-ion-redlithium-brushless-cordless-impact-wrench-bare/426en,https://media.screwfix.com/is/image/ae235/426EN_P?$autoprodblock$,Impact Wrenches,Li-Ion,,RedLithium,M12,Milwaukee,Brushless,,,,No,,"1/4""",Square Drive,,,,Rubber Overmould Grip,,,4400 bpm,,,,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",136 Nm,M12 FSCIWF14-0 FUEL,3800 rpm,None,,,1,1,Cordless,12 V,112 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,0.86 kg,,,,,,,,,,,,,,
333AW,Bosch Expert EXDX18V-210 18V Li-Ion AMPShare Brushless Cordless Impact Driver / Wrench - Bare,Bosch,Expert EXDX18V-210,249.99,GBP,,0,/p/bosch-expert-exdx18v-210-18v-li-ion-ampshare-brushless-cordless-impact-driver-wrench-bare/333aw,https://media.screwfix.com/is/image/ae235/333AW_P?$autoprodblock$,Impact Wrenches,Li-Ion,,AMPShare,"1/4 """,Bosch,Brushless,,,,Yes,,"1/4 or 1/2""",Hex / Square Drive,,,,Rubber-Grip Handle,,,4100 bpm,,,,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",210 Nm,Expert EXDX18V-210,3400 rpm,None,,,1,1,Cordless,18 V,147 mm,Impact Driver / Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.2 kg,,,,,,,,,,,,,,
960EN,Milwaukee M12 FSCIWF38-252X FUEL 12V 2 x 2.5Ah Li-Ion RedLithium High Output Brushless Cordless Impact Wrench,Milwaukee,M12 FSCIWF38-252X FUEL,239.99,GBP,,0,/p/milwaukee-m12-fsciwf38-252x-fuel-12v-2-x-2-5ah-li-ion-redlithium-high-output-brushless-cordless-impact-wrench/960en,https://media.screwfix.com/is/image/ae235/960EN_P?$autoprodblock$,,Li-Ion,2.5 Ah,RedLithium High Output,"3/8 """,Milwaukee,Brushless,,,,Yes,40 min,"3/8""",Square Drive Hog Ring,,,,Rubber Overmould Grip,,,3600 bpm,,,Low Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",305 Nm,M12 FSCIWF38-252X FUEL,3400 rpm,2,,,1,1,Cordless,12 V,114 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,0.91 kg,,,,,,,,,,,,,,,
494EN,Milwaukee M12 FSCIWF14-252X FUEL 12V 2 x 30Wh Li-Ion RedLithium Brushless Cordless Impact Wrench,Milwaukee,M12 FSCIWF14-252X FUEL,224.99,GBP,,0,/p/milwaukee-m12-fsciwf14-252x-fuel-12v-2-x-30wh-li-ion-redlithium-brushless-cordless-impact-wrench/494en,https://media.screwfix.com/is/image/ae235/494EN_P?$autoprodblock$,,Li-Ion,30 Wh,RedLithium,M12,Milwaukee,Brushless,,,,Yes,55 min,"1/4""",Square Drive,,,,Rubber Overmould Grip,,,4400 bpm,,,Low Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",136 Nm,M12 FSCIWF14-252X FUEL,3800 rpm,2,,,1,1,Cordless,12 V,112 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,0.86 kg,,,,,,,,,,,,,,,
991GE,Milwaukee M12 ONEFTR38-0 FUEL 12V Li-Ion RedLithium Brushless Cordless ONE-KEY 3/8&quot; Digital Torque Wrench - Bare,Milwaukee,M12 ONEFTR38-0 FUEL,180.0,GBP,,0,/p/milwaukee-m12-oneftr38-0-fuel-12v-li-ion-redlithium-brushless-cordless-one-key-3-8-digital-torque-wrench-bare/991ge,https://media.screwfix.com/is/image/ae235/991GE_P?$autoprodblock$,Impact Wrenches,Li-Ion,,RedLithium,M16,Milwaukee,Brushless,,,,Yes,,"3/8""",Square Drive,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,,,,Low Battery Indicator,Powered,1 Year Guarantee,135.6 Nm,M12 ONEFTR38-0 FUEL,0-100 rpm,None,,,1,1,Cordless,12 V,591.8 mm,"ONE-KEY 3/8"" Digital Torque Wrench",,Should the product require repair please visit a store who will arrange the repair.,,Paddle Switch,,2.2 kg,,,,,,,,,,,,,,
304AJ,Makita TW002G 40V Li-Ion Max XGT Brushless Cordless Impact Wrench - Bare,Makita,TW002G,279.99,GBP,,0,/p/makita-tw002g-40v-li-ion-max-xgt-brushless-cordless-impact-wrench-bare/304aj,https://media.screwfix.com/is/image/ae235/304AJ_P?$autoprodblock$,Impact Wrenches,Li-Ion,,Max XGT,"1/2 """,Makita,Brushless,,,,Yes,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Rubber Handle,,,2400 bpm,,,,,1 Year Guarantee,2200 Nm,TW002G,1800 m/min,None,,,1,1,Cordless,40 V,213 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,3.9 kg,,,,,,,,,,,,,,
958GE,Milwaukee M12 FHIR38-201B FUEL 12V 1 x 2.0Ah Li-Ion RedLithium Brushless Cordless High Speed Ratchet,Milwaukee,M12 FHIR38-201B FUEL,178.99,GBP,,0,/p/milwaukee-m12-fhir38-201b-fuel-12v-1-x-2-0ah-li-ion-redlithium-brushless-cordless-high-speed-ratchet/958ge,https://media.screwfix.com/is/image/ae235/958GE_P?$autoprodblock$,,Li-Ion,2.0 Ah,RedLithium,"3/8 """,Milwaukee,Brushless,,,,Yes,40 min,"3/8""",Square Drive,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,,,,Low Battery Indicator,Powered,1 Year Guarantee,47 Nm,M12 FHIR38-201B FUEL,0-450 rpm,1,,,1,1,Cordless,12 V,272 mm,High Speed Ratchet,,Should the product require repair please visit a store who will arrange the repair.,,Trigger Switch,1 kg,,,,,,,,,,,,,,,
768CP,Einhell Professional TP-CW 18/350-C Li BL 18V Li-Ion Power X-Change Brushless Cordless Impact Wrench - Bare,Einhell Professional,TP-CW 18/350-C Li BL,139.99,GBP,,0,/p/einhell-professional-tp-cw-18-350-c-li-bl-18v-li-ion-power-x-change-brushless-cordless-impact-wrench-bare/768cp,https://media.screwfix.com/is/image/ae235/768CP_P?$autoprodblock$,Impact Wrenches,Li-Ion,,Power X-Change,M20,Einhell Professional,Brushless,,,,No,,"1/2""",Square Drive,,,,Without Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,3300 bpm,,,,,1 Year Guarantee,350 Nm,TP-CW 18/350-C Li BL,2400 m/min,None,,,1,1,Cordless,18 V,132 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.03 kg,,,Einhell UK,"Champions Business Park, First Floor Unit 10, Wirral, Upton, CH49 0AB",,Einhell,,,,,,,,
744XK,Bosch GDS 18V-1000 C Professional 18V 2 x 8.0Ah Li-Ion ProCORE18V Brushless Cordless BITURBO Impact Wrench,Bosch,GDS 18V-1000 C Professional,619.99,GBP,,0,/p/bosch-gds-18v-1000-c-professional-18v-2-x-8-0ah-li-ion-procore18v-brushless-cordless-biturbo-impact-wrench/744xk,https://media.screwfix.com/is/image/ae235/744XK_P?$autoprodblock$,,Li-Ion,8.0 Ah,ProCORE18V,"1/2 """,Bosch,Brushless,,,,Yes,79 min,"1/2""",Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,2600 bpm,,,Low Battery Indicator,,1 Year Guarantee,1000 Nm,GDS 18V-1000 C Professional,1750 rpm,2,,,1,1,Cordless,18 V,222 mm,BITURBO Impact Wrench,Professional,,,,3.86 kg,,,,,,,,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",www.bosch.co.uk/contact/,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",www.bosch.com/contact/
654KG,Skil SD1E3265JA 20V Li-Ion PWRCORE 20 Brushless Cordless Impact Wrench - Bare,Skil,SD1E3265JA,79.99,GBP,5.0,3,/p/skil-sd1e3265ja-20v-li-ion-pwrcore-20-brushless-cordless-impact-wrench-bare/654kg,https://media.screwfix.com/is/image/ae235/654KG_P?$autoprodblock$,Impact Wrenches,Li-Ion,,PWRCORE 20,M14,Skil,Brushless,,,,Yes,,"3/8""",Square Drive Hog Ring,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,2100/3400/3950 bpm,,,,,5 Year Manufacturer&#x27;s Guarantee (T&Cs Apply),250 Nm,SD1E3265JA,1500/2250/2850 rpm,None,,,1,1,Cordless,20 V,122 mm,Impact Wrench,,,,,,1.3 kg,,,Chervon Europe Ltd,"34 Bridge Street, Reading, RG1 2LU",www.skil.com,Skil BV,"Rithmeesterpark 22A1, Breda, 4838GZ, Netherlands",www.skil.com,,,,,,
926RL,DEWALT DCF500N-XJ 12V Li-Ion XR Brushless Cordless Sealed Head Ratchet - Bare,DEWALT,DCF500N-XJ,199.99,GBP,,0,/p/dewalt-dcf500n-xj-12v-li-ion-xr-brushless-cordless-sealed-head-ratchet-bare/926rl,https://media.screwfix.com/is/image/ae235/926RL_P?$autoprodblock$,Ratchet Wrenches,Li-Ion,,XR,"1/4-3/8 """,DEWALT,Brushless,,,,No,,"3/8""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber-Coated Grip,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,,,,Low Battery Indicator,Powered,1 Year Guarantee,75 Nm,DCF500N-XJ,450 rpm,None,,,1,1,Cordless,12 V,305 mm,Sealed Head Ratchet,,Should the product require repair please visit a store who will arrange the repair.,,Trigger Switch,,0.88 kg,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
615TJ,Einhell Professional IMPAXXO 18/230 18V Li-Ion Power X-Change Brushless Cordless Impact Wrench - Bare,Einhell Professional,IMPAXXO 18/230,104.99,GBP,5.0,2,/p/einhell-professional-impaxxo-18-230-18v-li-ion-power-x-change-brushless-cordless-impact-wrench-bare/615tj,https://media.screwfix.com/is/image/ae235/615TJ_P?$autoprodblock$,Impact Wrenches,Li-Ion,,Power X-Change,"1/4 """,Einhell Professional,Brushless,,,,No,,"1/4""",Hex / Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-2900 bpm,No,No,,,1 Year Guarantee,230 Nm,IMPAXXO 18/230,0-2300 m/min,None,,,1,1,Cordless,18 V,216 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.17 kg,,,Einhell UK,"Champions Business Park, First Floor Unit 10, Arrowe Brook Rd, Wirral, CH49 0AB",https://www.einhell.co.uk/services/contact/,Einhell Germany AG,Einhell Germany AG Wiesenweg 22 94405 Landau/Isar,https://www.einhell.com/services/contact/,,,,,,
188XK,DEWALT DCF922P2T-GB 18V 2 x 5.0Ah Li-Ion XR Brushless Cordless Compact Impact Wrench,DEWALT,DCF922P2T-GB,280.0,GBP,5.0,2,/p/dewalt-dcf922p2t-gb-18v-2-x-5-0ah-li-ion-xr-brushless-cordless-compact-impact-wrench/188xk,https://media.screwfix.com/is/image/ae235/188XK_P?$autoprodblock$,,Li-Ion,5.0 Ah,XR,M20,DEWALT,Brushless,,,,Yes,75 min,"1/2""",Square Drive Detent Pin,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,3600 bpm,,,Low Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",406 Nm,DCF922P2T-GB,2500 rpm,2,,,1,1,Cordless,18 V,125 mm,Compact Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,1.7 kg,,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
902XK,Bosch GDS18V-1050HC 18V Li-Ion  Brushless Cordless BITURBO Impact Wrench - Bare,Bosch,GDS18V-1050HC,296.44,GBP,,0,/p/bosch-gds18v-1050hc-18v-li-ion-brushless-cordless-biturbo-impact-wrench-bare/902xk,https://media.screwfix.com/is/image/ae235/902XK_P?$autoprodblock$,Impact Wrenches,Li-Ion,,None,"3/4 """,Bosch,Brushless,,,,No,,"3/4""",Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-2600 bpm,,,,,1 Year Guarantee,1050 Nm,GDS18V-1050HC,0-1750 rpm,None,,,1,1,Cordless,18 V,222 mm,BITURBO Impact Wrench,Professional,Should the product require repair please visit a store who will arrange the repair.,,,,2.9 kg,,,,,,,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",www.bosch.co.uk/contact/,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",www.bosch.com/contact/
897PV,Bosch GDS 18V-1000 18V Li-Ion ProCORE18V Brushless Cordless BITURBO Impact Wrench - Bare,Bosch,GDS 18V-1000,251.06,GBP,,0,/p/bosch-gds-18v-1000-18v-li-ion-procore18v-brushless-cordless-biturbo-impact-wrench-bare/897pv,https://media.screwfix.com/is/image/ae235/897PV_P?$autoprodblock$,Impact Wrenches,Li-Ion,,ProCORE18V,M24,Bosch,Brushless,,,,No,,"1/2""",Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,2600 bpm,,,,,1 Year Guarantee,1000 Nm,GDS 18V-1000,1750 rpm,None,,,1,1,Cordless,18 V,222 mm,BITURBO Impact Wrench,Professional,Should the product require repair please visit a store who will arrange the repair.,,,,2.9 kg,,,,,,,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",www.bosch.co.uk/contact/,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",www.bosch.com/contact/
330CP,Einhell Professional TP-CW 18/260-C Li BL 18V Li-Ion Power X-Change Brushless Cordless Impact Wrench - Bare,Einhell Professional,TP-CW 18/260-C Li BL,119.99,GBP,5.0,1,/p/einhell-professional-tp-cw-18-260-c-li-bl-18v-li-ion-power-x-change-brushless-cordless-impact-wrench-bare/330cp,https://media.screwfix.com/is/image/ae235/330CP_P?$autoprodblock$,Impact Wrenches,Li-Ion,,Power X-Change,M16,Einhell Professional,Brushless,,,,No,,"1/2""",Square Drive,,,,Without Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,3800 bpm,,,,,1 Year Guarantee,260 Nm,TP-CW 18/260-C Li BL,2700 m/min,None,,,1,1,Cordless,18 V,119 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,0.95 kg,,,Einhell UK,"Champions Business Park, First Floor Unit 10, Wirral, Upton, CH49 0AB",,Einhell,,,,,,,,
5445J,Makita DTW450Z 18V Li-Ion LXT  Cordless Impact Wrench - Bare,Makita,DTW450Z,198.99,GBP,4.4,5,/p/makita-dtw450z-18v-li-ion-lxt-cordless-impact-wrench-bare/5445j,https://media.screwfix.com/is/image/ae235/5445J_P?$autoprodblock$,Impact Wrenches,Li-Ion,,LXT,M22,Makita,Brushed,,,,No,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,0-2200 bpm,,,,,1 Year Guarantee,440 Nm,DTW450Z,0-1600 rpm,None,,,1,1,Cordless,18 V,266 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,2.8 kg,,,,,,,,,,,,,,
7240P,Makita DTW251Z 18V Li-Ion LXT  Cordless Impact Wrench - Bare,Makita,DTW251Z,131.99,GBP,4.5,2,/p/makita-dtw251z-18v-li-ion-lxt-cordless-impact-wrench-bare/7240p,https://media.screwfix.com/is/image/ae235/7240P_P?$autoprodblock$,Impact Wrenches,Li-Ion,,LXT,"3-5/8 """,Makita,Brushed,,,,No,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,0-3200 bpm,,,,,1 Year Guarantee,230 Nm,DTW251Z,0-2100 rpm,None,,,1,1,Cordless,18 V,165 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.1 kg,,,,,,,,,,,,,,
